"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Корзина","Перенос в корзину","0","0","1","0","0"
"","Очистка корзины","Корзина","0","0","1","0","0"
"","Каталог товаров","Подкатегории","0","0","1","0","0"
"","Отложить товар","Товар","0","0","1","0","0"
"","Поиск","Поиск","0","0","2","0","0"
