"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 30 12:25:17 GMT 2023","Fri Jun 30 12:25:23 GMT 2023","6251","","Тесты на сайте Эконом-аптека","","ru.apteka.tests.AptekaTest","shouldSearchPositiveTest","Проверка поиска - позитивный сценарий",""
"passed","Fri Jun 30 12:24:43 GMT 2023","Fri Jun 30 12:24:53 GMT 2023","10042","","Тесты на сайте Эконом-аптека","","ru.apteka.tests.AptekaTest","shouldOpenCatalogTabTest","Переход по подкатегориям в каталоге товаров",""
"passed","Fri Jun 30 12:25:23 GMT 2023","Fri Jun 30 12:25:29 GMT 2023","6091","","Тесты на сайте Эконом-аптека","","ru.apteka.tests.AptekaTest","shouldSearchNegativeTest","Проверка поиска - негативный сценарий",""
"passed","Fri Jun 30 12:25:06 GMT 2023","Fri Jun 30 12:25:17 GMT 2023","10760","","Тесты на сайте Эконом-аптека","","ru.apteka.tests.AptekaTest","shouldAddToCartTest","Проверка возможности перенести товар в корзину",""
"passed","Fri Jun 30 12:24:53 GMT 2023","Fri Jun 30 12:25:06 GMT 2023","12896","","Тесты на сайте Эконом-аптека","","ru.apteka.tests.AptekaTest","shouldFavoritTest","Проверка возможности отложить товар",""
"passed","Fri Jun 30 12:25:29 GMT 2023","Fri Jun 30 12:25:43 GMT 2023","14163","","Тесты на сайте Эконом-аптека","","ru.apteka.tests.AptekaTest","shouldClearCardTest","Проверка очистки корзины",""
